ModelCrossSection,ModelRiver,ModelReach,Gague,Date,Time,W.S. Elev,Obs WS,Modeled Q,Obs Q
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,28 May 2008, 06:00,331.8,331.81,481210,474000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,28 May 2008, 08:00,331.76,331.77,481123,477000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,28 May 2008, 10:00,331.76,331.77,481006,477000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,28 May 2008, 12:00,331.82,331.83,478215,479000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,28 May 2008, 14:00,331.8,331.81,478048,480000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,28 May 2008, 16:00,331.82,331.83,477928,482000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,28 May 2008, 18:00,331.84,331.85,477641,482000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,28 May 2008, 20:00,331.91,331.92,475553,482000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,28 May 2008, 22:00,331.91,331.92,476540,482000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,28 May 2008, 24:00,331.94,331.95,477060,484000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,29 May 2008, 02:00,331.93,331.94,479151,484000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,29 May 2008, 04:00,331.93,331.94,480731,484000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,29 May 2008, 06:00,331.96,331.97,480682,485000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,29 May 2008, 08:00,331.97,331.98,481793,485000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,29 May 2008, 10:00,331.9,331.91,484542,483000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,29 May 2008, 12:00,331.91,331.92,485780,484000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,29 May 2008, 14:00,331.98,331.99,483173,485000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,29 May 2008, 16:00,331.98,331.99,483926,485000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,29 May 2008, 18:00,331.92,331.93,485740,484000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,29 May 2008, 20:00,331.96,331.97,484131,485000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,29 May 2008, 22:00,331.9,331.91,485514,483000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,29 May 2008, 24:00,331.9,331.91,484035,482000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,30 May 2008, 02:00,331.84,331.85,483630,482000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,30 May 2008, 04:00,331.78,331.79,485511,480000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,30 May 2008, 06:00,331.74,331.75,484571,480000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,30 May 2008, 08:00,331.63,331.64,484886,477000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,30 May 2008, 10:00,331.64,331.65,480284,475000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,30 May 2008, 12:00,331.55,331.56,479310,474000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,30 May 2008, 14:00,331.45,331.46,478108,473000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,30 May 2008, 16:00,331.38,331.39,475375,471000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,30 May 2008, 18:00,331.28,331.29,473041,469000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,30 May 2008, 20:00,331.21,331.22,469755,468000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,30 May 2008, 22:00,331.09,331.1,469632,465000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,30 May 2008, 24:00,331.06,331.07,465559,464000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,31 May 2008, 02:00,330.95,330.96,464071,462000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,31 May 2008, 04:00,330.84,330.85,462750,459000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,31 May 2008, 06:00,330.75,330.76,461397,457000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,31 May 2008, 08:00,330.67,330.68,456743,456000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,31 May 2008, 10:00,330.64,330.65,453013,455000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,31 May 2008, 12:00,330.59,330.6,448493,454000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,31 May 2008, 14:00,330.46,330.47,449136,451000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,31 May 2008, 16:00,330.46,330.47,444177,451000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,31 May 2008, 18:00,330.43,330.44,441209,450000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,31 May 2008, 20:00,330.37,330.38,438789,449000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,31 May 2008, 22:00,330.35,330.36,436185,449000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,31 May 2008, 24:00,330.36,330.37,432754,449000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,01 June 2008, 02:00,330.27,330.28,432909,447000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,01 June 2008, 04:00,330.32,330.33,428013,448000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,01 June 2008, 06:00,330.32,330.33,424570,448000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,01 June 2008, 08:00,330.3,330.31,422982,448000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,01 June 2008, 10:00,330.33,330.34,419831,448000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,01 June 2008, 12:00,330.33,330.34,418191,448000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,01 June 2008, 14:00,330.3,330.31,416107,448000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,01 June 2008, 16:00,330.22,330.23,416431,446000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,01 June 2008, 18:00,330.32,330.33,411340,448000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,01 June 2008, 20:00,330.27,330.28,411458,447000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,01 June 2008, 22:00,330.24,330.25,409971,446000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,01 June 2008, 24:00,330.21,330.22,408676,446000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,02 June 2008, 02:00,330.23,330.24,406206,446000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,02 June 2008, 04:00,330.16,330.17,406538,445000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,02 June 2008, 06:00,330.16,330.17,404509,445000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,02 June 2008, 08:00,330.11,330.12,404470,444000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,02 June 2008, 10:00,330.07,330.08,403959,443000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,02 June 2008, 12:00,330.09,330.1,401435,443000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,02 June 2008, 14:00,330.01,330.02,402469,442000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,02 June 2008, 16:00,329.96,329.97,401947,440000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,02 June 2008, 18:00,329.88,329.89,401118,439000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,02 June 2008, 20:00,329.9,329.91,398827,439000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,02 June 2008, 22:00,329.79,329.8,401256,437000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,02 June 2008, 24:00,329.82,329.83,397867,438000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,03 June 2008, 02:00,329.77,329.78,398026,436000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,03 June 2008, 04:00,329.73,329.74,398246,436000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,03 June 2008, 06:00,329.71,329.72,397759,435000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,03 June 2008, 08:00,329.53,329.54,402338,431000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,03 June 2008, 10:00,329.59,329.6,397770,432000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,03 June 2008, 12:00,329.6,329.61,397054,433000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,03 June 2008, 14:00,329.5,329.51,399917,430000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,03 June 2008, 16:00,329.44,329.45,399533,429000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,03 June 2008, 18:00,329.47,329.48,397926,429000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,03 June 2008, 20:00,329.43,329.44,399588,428000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,03 June 2008, 22:00,329.45,329.46,398020,429000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,03 June 2008, 24:00,329.42,329.43,398581,428000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,04 June 2008, 02:00,329.39,329.4,399604,428000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,04 June 2008, 04:00,329.4,329.41,399988,428000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,04 June 2008, 06:00,329.38,329.39,400481,427000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,04 June 2008, 08:00,329.46,329.47,398452,429000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,04 June 2008, 10:00,329.49,329.5,398338,430000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,04 June 2008, 12:00,329.52,329.53,398486,431000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,04 June 2008, 14:00,329.52,329.53,398891,431000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,04 June 2008, 16:00,329.53,329.54,399966,431000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,04 June 2008, 18:00,329.64,329.65,397680,434000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,04 June 2008, 20:00,329.68,329.69,398451,435000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,04 June 2008, 22:00,329.81,329.82,397145,437000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,04 June 2008, 24:00,329.81,329.82,398412,437000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,05 June 2008, 02:00,329.92,329.93,397671,440000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,05 June 2008, 04:00,329.96,329.97,399388,440000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,05 June 2008, 06:00,329.99,330,400912,441000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,05 June 2008, 08:00,330.13,330.14,399146,444000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,05 June 2008, 10:00,330.14,330.15,402027,444000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,05 June 2008, 12:00,330.34,330.35,397558,449000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,05 June 2008, 14:00,330.33,330.34,401964,448000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,05 June 2008, 16:00,330.46,330.47,400493,451000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,05 June 2008, 18:00,330.54,330.55,401479,453000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,05 June 2008, 20:00,330.58,330.59,403753,454000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,05 June 2008, 22:00,330.65,330.66,405136,455000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,05 June 2008, 24:00,330.76,330.77,405036,458000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,06 June 2008, 02:00,330.8,330.81,408238,458000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,06 June 2008, 04:00,330.88,330.89,409249,460000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,06 June 2008, 06:00,330.96,330.97,410300,462000
43.702,MISSISSIPPI,BIG MUDDY_OHIO,THEBES,06 June 2008, 08:00,330.97,330.98,413731,462000
